"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000225574.1",0,0,0,0,0,0,0,0,0
"ENSG00000183304.10",0,0,0,0,0,0,0,0,0
"ENSG00000231619.1",0,0,0,0,0,0,0,0,0
"ENSG00000229012.1",0,0,0,0,0,0,0,0,0
"ENSG00000285896.1",0,0,0,0,0,0,0,0,0
"ENSG00000225271.1",0,0,0,0,0,0,0,0,0
"ENSG00000177138.15",0,17,9,9,7,6,3,2,9
"ENSG00000200852.1",0,0,0,0,0,0,0,0,0
"ENSG00000219870.2",0,0,0,0,0,0,0,0,0
"ENSG00000228543.1",5,0,0,0,0,0,0,0,0
"ENSG00000232111.2",0,0,0,0,0,0,0,6,0
"ENSG00000282306.1",1,0,0,0,0,0,0,0,0
"ENSG00000282501.1",0,0,0,1,0,0,0,0,0
"ENSG00000282358.1",3,0,0,4,0,0,0,0,0
"ENSG00000282668.1",0,0,0,0,0,0,0,0,0
"ENSG00000282299.1",0,0,0,0,0,0,0,0,0
"ENSG00000282697.1",0,0,0,0,0,0,0,0,0
"ENSG00000282222.1",0,0,0,0,0,0,0,0,0
"ENSG00000281955.1",0,0,0,0,0,0,0,0,0
"ENSG00000281941.1",0,0,0,0,0,0,0,0,0
"ENSG00000282300.1",0,0,0,0,0,0,0,0,0
"ENSG00000101849.16",944,2173,1616,1025,1403,778,1310,1614,1274
"ENSG00000101850.12",18,82,87,41,90,4,38,36,75
"ENSG00000146950.12",339,2117,1723,1244,2178,833,1483,886,1197
"ENSG00000215319.2",0,0,0,0,0,1,1,0,0
"ENSG00000230326.1",0,0,0,0,0,0,0,0,0
"ENSG00000206844.1",0,0,0,0,0,0,0,0,0
"ENSG00000234469.4",7,18,13,16,12,33,13,15,16
"ENSG00000047644.18",534,1737,935,1385,1451,839,1445,653,1387
"ENSG00000225076.1",0,0,0,0,0,0,0,0,0
"ENSG00000202469.1",0,0,0,1,0,0,0,0,1
"ENSG00000073464.11",53,160,329,101,185,35,110,134,213
"ENSG00000227042.1",0,0,1,3,0,0,0,0,0
"ENSG00000101871.14",442,1012,605,1251,1214,1052,1009,512,1839
"ENSG00000207202.1",0,0,0,0,0,0,0,0,0
"ENSG00000234129.7",0,14,24,6,21,11,8,29,25
"ENSG00000004961.14",55,274,360,252,352,273,211,243,349
"ENSG00000207151.1",0,0,0,0,0,0,0,0,0
"ENSG00000047648.21",571,2944,3244,3808,5391,3483,2593,1844,4371
"ENSG00000278218.1",0,0,4,13,3,0,5,1,14
"ENSG00000275194.1",0,2,9,3,12,0,3,2,23
"ENSG00000125363.14",0,0,0,0,0,0,0,0,1
"ENSG00000263652.1",0,20,24,29,52,12,12,20,63
"ENSG00000232392.1",19,107,77,183,105,54,88,28,172
"ENSG00000282840.1",0,0,1,0,0,0,1,0,1
"ENSG00000223418.1",0,0,0,0,0,0,0,0,0
"ENSG00000005302.18",218,484,600,408,510,745,370,403,472
"ENSG00000206792.1",0,0,0,0,0,0,0,0,0
"ENSG00000169933.13",5,22,5,12,56,0,10,1,8
"ENSG00000206795.1",0,0,0,0,0,0,0,0,0
"ENSG00000223487.1",0,0,0,0,0,0,0,0,0
"ENSG00000231211.2",0,0,0,0,0,0,0,0,0
"ENSG00000273800.1",0,0,0,0,0,0,0,0,0
"ENSG00000271814.1",0,0,0,0,0,0,0,0,0
"ENSG00000101911.12",230,1403,2443,1220,2193,1578,871,897,1481
"ENSG00000229083.1",0,0,0,0,1,1,1,0,0
"ENSG00000230691.1",0,0,0,0,0,0,0,0,0
"ENSG00000196664.4",7,139,96,64,107,167,88,53,70
"ENSG00000233338.1",0,0,0,0,1,0,0,0,0
"ENSG00000101916.11",17,45,14,16,28,32,33,27,19
"ENSG00000205542.10",2301,5752,7132,3980,6031,4761,4194,8735,5901
"ENSG00000187268.11",0,0,0,0,0,0,0,0,0
"ENSG00000261030.1",0,0,0,0,0,0,0,0,0
"ENSG00000235385.1",0,0,0,0,0,0,0,0,1
"ENSG00000231216.1",0,0,0,0,0,0,0,0,0
"ENSG00000123594.5",0,0,0,0,0,0,0,0,0
"ENSG00000235592.1",0,0,0,0,0,0,0,0,0
"ENSG00000226985.6",0,5,0,0,0,0,0,1,0
"ENSG00000197582.5",3,1,4,1,0,3,2,2,1
"ENSG00000198759.11",0,25,0,19,5,0,4,0,43
"ENSG00000233357.2",0,0,0,0,0,0,0,0,0
"ENSG00000283493.1",0,0,0,0,0,0,0,0,0
"ENSG00000199622.1",0,0,0,0,0,0,0,0,0
"ENSG00000176896.8",21,147,176,140,281,200,91,119,172
"ENSG00000123595.7",77,438,834,479,777,720,312,542,530
"ENSG00000196459.13",136,591,590,548,889,417,322,441,413
"ENSG00000046651.14",380,1625,2205,1880,2935,3387,1310,1400,1990
"ENSG00000046653.14",127,1134,524,475,420,349,561,111,322
"ENSG00000233535.1",0,0,0,0,0,0,0,0,0
"ENSG00000212663.2",0,3,8,3,0,0,3,6,5
"ENSG00000046647.13",85,278,303,233,392,143,234,314,272
"ENSG00000233247.3",2,1,0,0,1,0,0,0,3
"ENSG00000101958.13",0,0,1,1,0,0,0,0,0
"ENSG00000231066.3",5,2,0,1,4,0,4,7,4
"ENSG00000181544.14",11,79,71,66,71,24,46,110,83
"ENSG00000130150.11",56,453,479,321,747,484,465,286,473
"ENSG00000235929.1",0,0,0,0,0,0,0,0,0
"ENSG00000236929.2",0,0,0,0,0,0,0,0,0
"ENSG00000102048.15",0,14,19,14,18,0,2,129,10
"ENSG00000165192.13",0,1,8,0,0,0,2,10,3
"ENSG00000165195.15",46,409,994,477,435,638,310,543,509
"ENSG00000165197.4",17,17,3,12,7,0,18,1,15
"ENSG00000087842.10",97,263,157,240,221,181,93,135,270
"ENSG00000102010.14",0,23,7,20,9,0,12,16,59
"ENSG00000130234.10",0,5,14,4,3,0,1,1,7
"ENSG00000285602.1",0,0,1,1,0,0,2,2,2
"ENSG00000225833.1",0,0,3,0,2,10,0,0,4
"ENSG00000147003.6",0,19,48,25,62,79,16,11,43
"ENSG00000237539.1",0,0,0,0,0,0,0,0,0
"ENSG00000186312.10",62,97,135,110,126,56,99,97,109
"ENSG00000169239.12",118,576,1760,433,1405,703,372,1106,498
"ENSG00000279413.1",0,0,0,0,0,0,0,0,0
"ENSG00000200620.1",0,7,6,3,6,0,10,0,5
"ENSG00000281371.1",0,0,0,0,0,0,0,0,0
"ENSG00000169249.12",65,99,121,112,179,157,131,141,138
"ENSG00000182287.14",23,360,506,259,389,1015,335,532,328
"ENSG00000200566.1",0,0,0,0,0,0,0,0,0
"ENSG00000226536.1",0,0,0,0,0,0,0,0,0
"ENSG00000126010.5",0,23,263,14,21,36,37,238,35
"ENSG00000238178.6",0,4,1,6,0,0,14,0,8
"ENSG00000182798.10",0,0,13,0,2,0,4,3,0
"ENSG00000215313.3",0,0,0,0,0,0,0,1,0
"ENSG00000235071.1",0,0,0,1,4,0,0,0,0
"ENSG00000239333.3",0,0,0,0,0,0,0,0,2
"ENSG00000047230.14",236,1256,1471,1141,1573,988,798,1380,1008
"ENSG00000265144.1",0,0,0,2,0,0,1,6,1
"ENSG00000169906.5",0,0,0,0,0,0,0,0,0
"ENSG00000169895.5",504,3953,5828,3279,7270,8414,2678,3591,3190
"ENSG00000238709.1",0,0,0,0,0,0,0,0,0
"ENSG00000086712.12",182,726,734,779,910,1080,639,808,896
"ENSG00000230180.1",0,4,1,1,0,0,2,1,0
"ENSG00000102054.17",864,2731,3076,2003,3362,2620,1854,2148,2002
"ENSG00000222736.1",0,0,0,0,0,0,0,0,0
"ENSG00000223498.1",0,0,0,0,0,0,0,0,0
"ENSG00000199410.1",0,0,0,0,0,0,0,0,0
"ENSG00000169891.17",392,1621,13048,1741,10888,11709,1424,6713,1579
"ENSG00000201467.1",0,0,0,0,0,0,0,0,0
"ENSG00000214322.3",0,0,0,0,1,2,0,0,0
"ENSG00000214321.3",0,0,6,1,12,0,2,0,0
"ENSG00000238764.1",0,0,0,0,0,0,0,0,0
"ENSG00000188158.15",237,691,188,648,297,421,469,104,702
"ENSG00000265465.1",1,22,1,14,2,10,15,0,12
"ENSG00000235834.1",2,25,6,22,11,0,5,2,25
"ENSG00000230020.1",0,0,0,0,0,0,0,0,0
"ENSG00000226153.1",0,0,0,0,0,0,0,0,0
"ENSG00000047634.14",103,708,732,617,763,643,583,474,520
"ENSG00000227873.1",0,0,0,0,0,0,0,0,0
"ENSG00000131831.17",170,303,254,286,189,221,249,163,273
"ENSG00000276467.1",0,0,0,0,0,0,0,0,0
"ENSG00000225066.1",0,0,0,0,0,0,0,0,0
"ENSG00000225882.1",0,0,0,3,0,0,0,0,0
"ENSG00000177324.13",0,0,1,0,0,0,2,0,0
"ENSG00000102098.17",10,82,100,73,129,68,53,75,64
"ENSG00000235211.4",0,0,0,0,0,0,0,0,0
"ENSG00000207025.1",0,0,0,0,0,0,0,0,0
"ENSG00000008086.11",264,2377,2402,2138,5987,2790,1620,1024,1770
"ENSG00000236187.1",0,15,18,20,31,24,18,3,8
"ENSG00000102104.8",0,0,1,0,1,0,0,0,0
"ENSG00000086717.18",1,19,57,32,51,38,17,9,14
"ENSG00000237221.1",0,0,0,0,0,0,0,0,0
"ENSG00000196564.4",0,0,0,0,0,0,0,0,1
"ENSG00000224224.1",0,11,132,14,65,145,7,1,2
"ENSG00000237836.5",1,20,354,70,145,70,46,5,13
"ENSG00000044446.11",543,1128,1492,1138,1498,1158,861,1436,1207
"ENSG00000266710.2",0,4,2,3,0,0,10,0,4
"ENSG00000173698.17",66,381,174,634,605,381,169,79,225
"ENSG00000131828.13",436,1045,1264,1040,1402,1777,742,1659,1276
"ENSG00000180815.14",0,0,2,8,6,0,4,3,2
"ENSG00000202144.1",0,0,0,0,0,0,0,0,0
"ENSG00000275800.1",0,0,0,0,0,0,0,0,0
"ENSG00000147010.17",173,275,324,219,289,457,212,165,305
"ENSG00000173681.16",257,1405,1317,949,1837,2393,1138,1149,1093
"ENSG00000206663.1",0,1,0,0,1,0,0,1,5
"ENSG00000184368.15",6,45,252,64,286,227,88,93,17
"ENSG00000264566.3",3,0,3,0,1,10,0,0,0
"ENSG00000173674.10",270,2662,3978,2137,4350,3866,1938,2505,2721
"ENSG00000201882.1",0,2,4,5,0,0,3,12,8
"ENSG00000201592.1",1,2,17,22,17,28,17,43,10
"ENSG00000225037.1",0,0,0,0,0,0,0,0,0
"ENSG00000177189.13",624,4547,10653,4652,11956,9062,2695,2605,6313
"ENSG00000283631.1",0,0,0,0,0,0,0,0,0
"ENSG00000283400.1",0,0,0,0,0,0,0,0,0
"ENSG00000252978.1",0,0,0,0,0,0,0,0,0
"ENSG00000283380.1",0,5,49,0,20,8,0,0,1
"ENSG00000283546.1",0,0,0,0,0,0,0,0,0
"ENSG00000206716.1",0,0,0,0,0,0,0,0,0
"ENSG00000149970.15",13,233,1663,188,1596,8558,98,131,108
"ENSG00000231913.1",0,0,0,0,0,0,0,0,0
"ENSG00000185915.5",0,0,0,0,0,0,0,0,0
"ENSG00000091482.6",0,9,16,0,0,4,1,0,1
"ENSG00000012174.11",200,1137,1549,951,1750,1437,616,805,1108
"ENSG00000275681.1",0,0,0,0,0,0,0,0,0
"ENSG00000230797.2",0,38,41,36,49,109,17,36,56
"ENSG00000206639.1",0,0,0,0,0,0,0,0,0
"ENSG00000271286.1",0,2,2,2,3,5,4,0,1
"ENSG00000102172.15",824,8267,36231,9434,22042,47300,4770,2547,7747
"ENSG00000102174.8",5,55,85,58,46,41,40,20,57
"ENSG00000224204.1",0,4,8,11,0,17,16,0,9
"ENSG00000233067.2",6,5,5,2,9,5,8,3,4
"ENSG00000175809.5",0,0,0,1,0,0,0,0,0
"ENSG00000231846.1",0,0,0,0,0,0,0,0,0
"ENSG00000224396.1",0,0,0,0,0,0,0,0,0
"ENSG00000201095.1",0,0,0,0,0,0,0,0,0
"ENSG00000231011.1",0,5,1,2,3,0,1,0,0
"ENSG00000237019.1",0,0,0,0,0,0,0,0,0
"ENSG00000184735.6",0,0,0,0,0,0,0,0,0
"ENSG00000174028.6",8,12,24,13,7,33,6,5,18
"ENSG00000228610.1",0,0,0,0,0,0,0,0,0
"ENSG00000165186.11",112,215,100,259,155,102,455,100,250
"ENSG00000226774.1",0,1,2,0,1,0,1,0,4
"ENSG00000123131.12",106,963,4057,868,3611,2733,629,1712,871
"ENSG00000123130.16",277,867,691,694,749,815,555,599,706
"ENSG00000233785.1",0,4,15,8,8,0,7,3,5
"ENSG00000202272.1",0,0,0,0,0,0,0,0,0
"ENSG00000130066.16",2753,10989,19833,9018,10243,7947,7669,11933,10861
"ENSG00000184831.13",35,303,442,221,556,322,174,186,255
"ENSG00000238103.4",37,10,4,16,11,3,9,63,25
"ENSG00000165182.11",0,3,6,1,4,4,1,2,4
"ENSG00000174010.9",194,1124,1833,1102,864,872,979,591,833
"ENSG00000130741.10",804,4641,7454,4478,5771,6514,3057,11276,5234
"ENSG00000201407.1",0,0,0,0,0,0,1,0,0
"ENSG00000234230.1",0,0,0,2,0,0,0,1,0
"ENSG00000005889.15",1563,5791,7673,7892,4855,4253,5436,4227,8056
"ENSG00000223611.5",1,0,0,0,0,0,0,0,0
"ENSG00000223731.2",4,0,0,0,0,0,1,0,0
"ENSG00000225071.1",23,0,2,3,5,4,0,3,0
"ENSG00000067992.13",200,1133,294,1097,904,340,670,445,1380
"ENSG00000214124.3",0,6,1,8,1,0,5,0,12
"ENSG00000260822.1",245,1490,393,1647,1481,494,1086,646,1902
"ENSG00000102230.13",35,62,12,10,9,5,49,7,12
"ENSG00000226222.3",0,0,0,0,0,0,0,0,0
"ENSG00000236836.1",0,0,0,0,0,0,0,0,0
"ENSG00000236487.2",0,0,0,0,0,0,0,0,0
"ENSG00000101868.10",299,957,1071,1040,1072,1146,649,871,1026
"ENSG00000251869.1",0,14,20,40,16,39,42,32,16
"ENSG00000232472.1",11,11,14,9,8,12,9,29,13
"ENSG00000004848.7",8,6,51,69,111,70,2,6,70
"ENSG00000214111.3",0,0,0,0,0,0,0,0,0
"ENSG00000240439.3",0,0,0,0,0,0,0,0,0
"ENSG00000176812.7",0,0,0,0,0,0,0,0,0
"ENSG00000229310.1",0,0,0,0,0,0,0,0,0
"ENSG00000228519.3",3,2,0,4,3,1,0,6,2
"ENSG00000233403.1",0,0,13,5,2,279,0,0,48
"ENSG00000176774.5",0,0,0,0,0,0,0,0,0
"ENSG00000232446.1",0,0,0,0,0,0,0,0,0
"ENSG00000232030.3",0,0,0,0,0,0,0,0,0
"ENSG00000227511.1",0,0,0,0,0,0,0,0,0
"ENSG00000176746.6",0,0,0,0,0,0,0,0,0
"ENSG00000232644.1",0,0,0,0,0,0,0,0,0
"ENSG00000188408.5",0,0,0,0,0,0,0,0,0
"ENSG00000237171.1",0,0,0,0,0,0,0,0,0
"ENSG00000228464.1",0,0,0,0,0,0,0,0,0
"ENSG00000231388.1",0,0,0,0,0,0,0,0,0
"ENSG00000230265.1",0,0,0,0,0,0,0,0,0
"ENSG00000259849.1",0,0,0,0,0,0,0,0,0
"ENSG00000236160.1",0,0,0,0,0,0,0,0,0
"ENSG00000216938.3",0,0,0,1,0,0,0,0,0
"ENSG00000236683.3",1,0,0,0,0,0,0,0,0
"ENSG00000252491.1",0,0,0,0,0,0,0,0,0
"ENSG00000242021.2",0,0,20,0,0,25,0,1,2
"ENSG00000228933.7",0,3,41,0,2,61,0,1,4
"ENSG00000233807.1",0,0,1,0,0,6,0,0,0
"ENSG00000252486.1",0,0,0,0,0,0,0,0,0
"ENSG00000235642.1",0,0,0,0,0,0,0,0,0
"ENSG00000224960.4",0,0,3,0,0,0,0,0,0
"ENSG00000223391.2",0,1,0,0,0,0,0,0,0
"ENSG00000238247.2",1,0,2,0,1,1,0,0,0
"ENSG00000189186.10",0,6,0,0,0,0,0,0,0
"ENSG00000177689.10",0,0,0,0,0,0,0,0,0
"ENSG00000229731.1",0,0,0,0,0,0,0,0,0
"ENSG00000226199.1",0,0,0,0,0,0,0,0,0
"ENSG00000232834.1",0,0,0,0,0,0,0,0,0
"ENSG00000228345.2",0,0,0,0,0,0,0,0,0
"ENSG00000233243.1",0,0,0,0,0,0,0,0,0
"ENSG00000224589.1",0,0,0,0,0,0,0,0,0
"ENSG00000226372.3",0,0,0,0,0,0,0,0,0
"ENSG00000277569.1",0,0,0,0,0,0,0,0,0
"ENSG00000223742.1",0,0,0,0,0,0,0,0,0
"ENSG00000169306.9",29,58,94,28,48,67,20,172,15
"ENSG00000226436.1",0,0,0,1,0,0,0,0,0
"ENSG00000201666.1",0,2,0,2,0,0,0,0,0
"ENSG00000237994.1",8,15,1,1,0,0,2,4,0
"ENSG00000201356.1",0,0,0,0,0,0,0,0,0
"ENSG00000227393.1",0,0,0,0,0,0,0,0,0
"ENSG00000264090.1",0,0,0,0,0,0,0,0,0
"ENSG00000227592.1",0,0,0,0,0,0,0,0,0
"ENSG00000270794.1",0,0,0,0,0,0,0,0,0
"ENSG00000099399.5",0,0,0,0,0,0,0,0,0
"ENSG00000198798.5",0,0,0,0,0,0,0,0,0
"ENSG00000120289.11",0,0,0,0,0,0,0,0,0
"ENSG00000214107.7",0,0,0,0,0,0,0,0,0
"ENSG00000276940.1",0,0,0,0,0,0,0,0,0
"ENSG00000169297.7",0,0,0,0,0,0,0,0,0
"ENSG00000120280.5",12,24,16,12,18,52,32,13,11
"ENSG00000178556.8",0,0,0,1,0,0,0,1,0
"ENSG00000232368.1",3,0,0,1,0,0,0,1,1
"ENSG00000198814.12",109,276,640,296,475,479,249,260,363
"ENSG00000229331.1",6,2,5,4,1,0,4,2,1
"ENSG00000241886.1",0,3,13,8,1,0,13,3,9
"ENSG00000243055.1",0,0,0,0,0,0,0,0,0
"ENSG00000277876.1",0,0,0,0,0,0,0,0,0
"ENSG00000157625.15",653,2644,4054,2447,4024,4095,2333,2011,3053
"ENSG00000231542.1",0,0,0,1,0,0,0,0,4
"ENSG00000235512.1",0,0,0,0,0,0,0,0,0
"ENSG00000132446.6",0,0,0,0,0,0,0,0,0
"ENSG00000198947.15",783,2073,1233,1418,1741,1230,3572,683,1725
"ENSG00000252903.2",0,0,0,0,0,0,0,0,0
"ENSG00000285900.1",0,0,0,0,0,0,0,0,0
"ENSG00000222922.1",0,0,0,0,0,0,0,0,0
"ENSG00000236285.1",2,0,0,0,0,0,0,0,0
"ENSG00000263600.1",0,0,3,1,0,0,3,0,0
"ENSG00000221348.1",0,0,0,0,0,0,0,0,0
"ENSG00000236828.1",0,0,0,0,0,0,0,0,0
"ENSG00000226781.1",0,1,0,3,1,2,2,1,0
"ENSG00000215310.2",0,0,0,0,0,0,0,0,0
"ENSG00000233928.5",3,0,0,0,0,6,0,0,0
"ENSG00000185448.10",0,0,0,0,0,0,0,0,0
"ENSG00000185638.9",0,1,0,0,0,0,0,0,0
"ENSG00000233571.1",0,0,0,0,0,0,0,0,0
"ENSG00000236072.1",5,3,0,2,0,0,1,0,0
"ENSG00000271136.1",0,0,0,0,0,0,0,0,0
"ENSG00000147027.3",261,2089,3046,675,2040,3063,1564,425,1331
"ENSG00000225384.1",0,0,0,0,0,0,0,0,0
"ENSG00000273704.1",0,0,0,0,0,0,0,0,0
"ENSG00000189132.6",0,0,0,0,0,0,0,0,0
"ENSG00000229347.1",0,0,0,0,0,0,0,0,0
"ENSG00000252411.1",0,0,0,0,0,0,0,0,0
"ENSG00000230227.4",0,0,0,0,0,0,0,0,0
"ENSG00000233663.1",0,0,0,0,0,0,0,0,0
"ENSG00000271088.1",0,0,0,0,0,0,0,0,0
"ENSG00000233880.1",0,0,0,0,0,0,0,0,0
"ENSG00000189023.10",0,0,0,0,0,0,0,0,0
"ENSG00000271519.1",0,0,0,0,0,0,0,0,0
"ENSG00000165164.13",0,14,35,29,24,3,3,19,8
"ENSG00000206733.1",0,0,0,0,0,0,0,0,0
"ENSG00000229384.2",0,0,0,1,0,0,0,2,0
"ENSG00000226484.2",0,0,0,0,0,0,0,0,0
"ENSG00000233921.2",0,0,0,0,0,0,0,2,0
"ENSG00000249467.1",0,0,0,0,0,0,0,0,0
"ENSG00000275314.1",0,2,0,0,8,0,0,0,0
"ENSG00000235510.1",0,0,0,0,0,0,0,0,0
"ENSG00000223723.1",0,9,7,1,26,1,18,5,1
"ENSG00000231069.1",0,2,1,0,4,0,0,0,0
"ENSG00000198173.4",0,0,0,0,0,0,0,0,0
"ENSG00000243048.3",0,0,0,0,0,0,0,0,0
"ENSG00000214071.4",0,0,0,0,0,0,0,0,0
"ENSG00000233810.1",0,0,0,0,0,0,0,0,0
"ENSG00000130962.17",39,243,511,249,441,480,212,125,247
"ENSG00000250349.3",0,0,0,0,0,0,0,0,0
"ENSG00000241607.1",0,0,0,0,0,0,0,0,0
"ENSG00000219186.2",0,0,0,0,0,0,1,0,0
"ENSG00000234355.3",0,0,0,0,0,0,0,0,0
"ENSG00000174678.9",0,0,0,0,0,0,0,0,0
"ENSG00000147036.11",12,34,16,83,30,8,58,9,34
"ENSG00000047597.6",9,292,133,241,349,71,143,50,148
"ENSG00000285944.1",0,0,0,0,2,0,1,0,0
"ENSG00000165168.7",280,721,474,340,320,717,696,562,506
"ENSG00000165169.10",65,770,1128,714,1298,1174,773,590,877
"ENSG00000206983.1",0,0,0,0,0,0,0,0,0
"ENSG00000259977.1",0,3,0,0,0,0,0,0,0
"ENSG00000224339.1",0,0,0,0,0,0,0,0,0
"ENSG00000187516.6",0,0,0,0,0,0,0,0,0
"ENSG00000229674.2",0,0,0,0,0,0,0,0,0
"ENSG00000147041.11",30,80,29,333,132,39,57,19,322
"ENSG00000221466.2",0,0,0,0,0,0,0,0,0
"ENSG00000101955.14",48,162,124,160,210,236,87,65,203
"ENSG00000226679.1",0,0,0,0,0,0,0,0,4
"ENSG00000156313.13",121,290,489,293,437,583,345,348,438
"ENSG00000252050.1",0,6,30,9,26,15,13,6,21
"ENSG00000036473.7",0,0,0,2,0,0,0,3,10
"ENSG00000227988.1",0,0,0,0,0,0,0,0,0
"ENSG00000232370.1",0,0,0,0,0,0,0,0,0
"ENSG00000229735.1",0,0,0,0,0,0,0,0,0
"ENSG00000233007.1",0,0,0,0,0,0,0,0,0
"ENSG00000156298.12",97,219,52,101,55,7,88,54,105
"ENSG00000238606.1",0,0,0,0,0,0,0,0,0
"ENSG00000235806.1",0,0,0,0,0,0,0,0,0
"ENSG00000165175.15",159,618,831,534,703,434,339,453,425
"ENSG00000238123.1",0,0,3,0,1,0,2,3,0
"ENSG00000207122.1",0,0,0,0,0,0,0,0,0
"ENSG00000224610.1",0,0,0,0,0,0,0,0,0
"ENSG00000235304.1",2,1,0,0,0,0,0,0,0
"ENSG00000236747.2",0,0,0,0,0,0,0,0,0
"ENSG00000234191.1",0,0,1,0,0,0,0,0,0
"ENSG00000263730.1",0,0,0,0,0,0,0,0,0
"ENSG00000264618.2",43,10,11,11,4,0,7,6,5
"ENSG00000228232.1",29,5,15,9,9,3,6,27,12
"ENSG00000270759.1",0,0,0,0,0,0,0,0,0
"ENSG00000261435.1",0,0,0,0,0,0,1,0,0
"ENSG00000263972.1",0,0,0,0,0,0,0,0,0
"ENSG00000214047.4",1,1,0,1,0,0,0,0,0
"ENSG00000285709.1",0,0,0,0,0,0,0,0,0
"ENSG00000223486.1",0,0,0,0,0,0,1,0,0
"ENSG00000183337.16",685,3417,3298,3152,3485,2228,2127,3431,2166
"ENSG00000236393.1",0,1,0,0,0,0,0,2,0
"ENSG00000214045.3",0,0,0,0,0,0,0,0,0
"ENSG00000206677.2",0,0,0,0,0,0,0,0,0
"ENSG00000235685.2",0,0,0,0,0,0,0,0,0
"ENSG00000238730.1",0,0,0,0,0,0,0,0,0
"ENSG00000182220.14",331,3114,2660,2549,3907,3059,1632,1977,3048
"ENSG00000238205.3",0,0,0,0,0,0,0,0,0
"ENSG00000185753.12",221,728,486,803,765,252,500,413,865
"ENSG00000180182.10",514,2306,1809,1982,2705,1657,1541,1421,2479
"ENSG00000234636.2",0,11,5,39,10,6,4,7,5
"ENSG00000270791.1",0,0,0,0,0,0,0,0,0
"ENSG00000214031.2",0,0,0,0,0,0,0,0,0
"ENSG00000237661.1",0,0,0,0,0,0,0,0,0
"ENSG00000238222.3",0,0,2,0,1,0,1,0,0
"ENSG00000232801.1",0,0,0,0,0,1,0,0,0
"ENSG00000189145.7",0,0,0,0,0,0,0,0,0
"ENSG00000216866.5",10,2,14,2,10,1,8,22,7
"ENSG00000237931.1",1,0,0,0,0,0,0,0,0
"ENSG00000124486.12",2123,9218,9685,7640,10514,9969,5784,8063,9797
"ENSG00000223714.1",0,0,0,0,0,0,3,0,0
"ENSG00000199564.1",0,0,0,0,0,0,0,0,0
"ENSG00000238426.1",0,0,0,0,0,0,2,0,0
"ENSG00000226641.1",0,0,3,0,0,0,0,0,1
"ENSG00000215301.10",2066,8978,13719,9476,10936,10025,7105,8819,11217
"ENSG00000264573.2",1,0,0,1,2,0,2,0,0
"ENSG00000188937.5",0,0,0,0,0,0,0,0,0
"ENSG00000225238.1",0,0,0,0,0,0,0,0,0
"ENSG00000147044.21",523,1716,2208,1422,2286,2318,1061,1187,1547
"ENSG00000233033.1",0,0,0,0,0,0,0,0,0
"ENSG00000212207.1",0,0,0,0,0,0,1,1,0
"ENSG00000217624.2",26,11,3,7,12,8,9,3,7
"ENSG00000242559.3",4,0,5,2,3,0,1,1,3
"ENSG00000171659.14",5,159,145,55,70,336,170,90,172
"ENSG00000171657.5",0,7,21,8,12,36,9,10,21
"ENSG00000229822.2",0,0,0,0,0,0,0,0,0
"ENSG00000237875.1",0,1,0,0,0,0,0,0,4
"ENSG00000251807.1",0,8,2,2,6,5,4,1,1
"ENSG00000233103.1",0,0,0,0,0,0,0,0,0
"ENSG00000228847.1",6,0,2,0,0,0,0,0,0
"ENSG00000212560.1",0,0,0,0,0,0,0,0,0
"ENSG00000228780.2",0,0,0,0,0,0,0,0,0
"ENSG00000206896.1",0,0,0,0,0,0,0,0,0
"ENSG00000231772.5",0,13,0,3,0,0,4,0,2
"ENSG00000283737.1",0,0,0,0,0,0,0,0,0
"ENSG00000102055.6",0,0,0,0,0,0,0,0,0
"ENSG00000270280.1",0,0,0,0,0,0,1,0,0
"ENSG00000224294.1",0,0,0,0,0,0,0,0,0
"ENSG00000237206.1",0,0,0,0,0,0,0,0,0
"ENSG00000285899.1",0,0,0,0,0,0,0,0,0
"ENSG00000231750.3",0,0,0,3,0,0,0,0,0
"ENSG00000189221.9",1266,5211,11079,6686,8211,31388,3290,7206,9279
"ENSG00000069535.13",373,1098,305,302,320,162,771,155,413
"ENSG00000124479.9",9,48,26,34,31,23,73,12,27
"ENSG00000236276.1",0,0,0,0,0,0,0,0,0
"ENSG00000214019.2",1,0,2,0,1,0,2,2,1
"ENSG00000183690.12",15,177,65,57,94,59,65,25,117
"ENSG00000198414.5",0,0,0,0,0,0,0,0,0
"ENSG00000214018.3",0,19,11,14,11,0,9,2,6
"ENSG00000200702.1",0,0,0,0,0,0,0,0,0
"ENSG00000224054.1",0,0,0,0,0,0,0,0,0
"ENSG00000215035.2",0,1,1,0,2,0,0,1,2
"ENSG00000069509.5",40,324,453,306,287,757,159,338,425
"ENSG00000233543.1",1,0,0,0,0,0,0,0,0
"ENSG00000229168.4",0,0,0,0,0,0,0,0,0
"ENSG00000214016.3",20,0,2,4,3,0,2,5,4
"ENSG00000242065.3",0,0,0,0,0,0,0,0,0
"ENSG00000189037.7",0,0,0,0,0,0,0,0,0
"ENSG00000147050.14",649,2086,2559,1876,2581,2803,1328,2926,2339
"ENSG00000147113.16",101,386,116,125,213,86,127,101,103
"ENSG00000229491.5",0,0,0,0,0,0,0,0,0
