"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000261357.1",4,3,0,1,1,0,3,6,0
"ENSG00000167186.10",2086,1614,1278,944,611,1587,701,893,827
"ENSG00000260430.1",8,8,13,2,5,20,22,5,10
"ENSG00000278389.1",0,5,0,3,5,5,0,18,0
"ENSG00000205730.6",1485,1972,1670,1741,1426,2046,1783,2078,2112
"ENSG00000261427.6",0,0,0,0,0,0,0,0,0
"ENSG00000261759.1",0,0,0,0,0,0,0,0,0
"ENSG00000103528.16",934,583,398,857,381,1027,273,484,471
"ENSG00000261210.7",0,0,0,1,1,2,3,0,0
"ENSG00000259871.1",0,0,0,0,0,1,0,0,0
"ENSG00000285869.1",0,0,0,0,1,0,0,0,0
"ENSG00000259925.1",80,57,27,88,42,36,22,134,83
"ENSG00000280265.1",31,11,8,10,15,12,15,20,42
"ENSG00000103534.16",5129,5238,3683,2712,2152,3380,6096,3938,6035
"ENSG00000260681.1",3,4,0,0,0,1,3,2,0
"ENSG00000260592.1",0,2,0,0,0,0,0,1,0
"ENSG00000222750.1",0,0,0,0,0,0,0,0,0
"ENSG00000260934.1",39,81,21,35,18,54,47,57,50
"ENSG00000006007.11",3628,3852,2943,1654,1139,2808,2166,1687,1953
"ENSG00000279747.1",56,97,36,43,25,67,68,102,145
"ENSG00000103540.16",1557,1783,1559,1330,990,1424,1463,1719,1912
"ENSG00000103544.14",854,1647,776,1313,995,1782,985,1552,1472
"ENSG00000276571.1",2,2,0,0,3,1,8,1,4
"ENSG00000103550.13",665,644,585,474,423,600,736,476,467
"ENSG00000261312.1",0,0,0,0,0,1,0,0,0
"ENSG00000174628.16",259,370,246,254,236,405,160,301,307
"ENSG00000261195.1",0,2,0,0,0,0,0,0,0
"ENSG00000261939.1",0,0,0,0,0,0,0,0,0
"ENSG00000167191.11",169,400,108,350,433,788,106,400,350
"ENSG00000180269.7",0,0,0,0,0,0,0,0,0
"ENSG00000277211.1",0,0,0,0,0,0,0,0,0
"ENSG00000263253.1",0,0,0,0,0,0,0,0,0
"ENSG00000227624.2",0,0,0,0,0,0,0,0,0
"ENSG00000169347.16",320,2363,175,994,1884,851,821,2749,2140
"ENSG00000169344.15",0,2,0,11,2,3,0,0,2
"ENSG00000169340.9",0,6,0,11,2,8,0,5,9
"ENSG00000263237.1",0,2,0,0,1,5,0,0,1
"ENSG00000183549.10",7,19,21,5,6,6,6,6,7
"ENSG00000262995.1",0,2,0,0,0,0,0,0,0
"ENSG00000183747.11",0,0,0,1,0,0,0,0,0
"ENSG00000280306.1",0,0,0,0,0,0,0,0,0
"ENSG00000066813.14",0,0,0,0,0,0,0,0,0
"ENSG00000260201.2",0,0,0,0,0,2,0,0,1
"ENSG00000260762.1",7,8,0,5,0,0,2,1,1
"ENSG00000005187.11",3043,4630,23027,1542,680,1168,13017,1575,788
"ENSG00000275315.1",0,0,0,0,0,0,0,0,0
"ENSG00000274730.1",0,0,0,0,0,0,0,3,0
"ENSG00000166743.9",2775,728,466,137,147,153,38,273,581
"ENSG00000066654.13",5477,8223,8289,3932,3338,6053,5651,6692,5675
"ENSG00000283399.1",1,15,0,5,23,12,1,6,11
"ENSG00000285303.1",0,4,0,0,4,0,0,3,0
"ENSG00000260510.1",19,22,17,18,14,24,2,11,23
"ENSG00000196678.13",876,986,584,640,506,824,525,862,536
"ENSG00000200893.1",1,15,33,4,1,5,25,5,2
"ENSG00000005189.19",723,574,483,347,246,393,365,468,434
"ENSG00000275908.1",2,1,0,0,1,0,6,3,6
"ENSG00000188215.9",804,753,279,472,352,463,406,510,749
"ENSG00000102897.9",1097,970,1297,521,442,737,847,847,518
"ENSG00000158486.13",1,1,44,22,2,17,1,13,14
"ENSG00000263331.1",0,0,0,0,0,1,0,0,0
"ENSG00000011638.10",871,1154,240,708,341,975,1090,1053,764
"ENSG00000262983.1",0,0,0,0,0,0,0,0,0
"ENSG00000103310.10",2,3,0,2,0,1,0,3,0
"ENSG00000175311.6",1,0,0,0,0,0,0,0,0
"ENSG00000103316.10",1072,1637,375,608,564,1105,646,2262,805
"ENSG00000283421.1",0,0,0,0,0,0,0,0,0
"ENSG00000189149.12",20,27,45,34,20,19,36,41,41
"ENSG00000257403.2",5,2,0,9,6,3,1,1,4
"ENSG00000158482.10",5,17,31,14,8,11,4,18,14
"ENSG00000276548.1",0,0,0,3,0,0,0,0,0
"ENSG00000169246.16",23,13,0,49,31,73,37,28,37
"ENSG00000180747.15",486,393,223,308,585,201,177,594,759
"ENSG00000265462.1",4,5,0,9,31,9,6,16,19
"ENSG00000258186.2",0,0,0,0,0,0,0,0,0
"ENSG00000273956.1",0,0,0,0,0,0,0,0,0
"ENSG00000257639.1",0,0,0,0,0,0,0,0,0
"ENSG00000271609.1",0,0,0,0,0,0,0,0,0
"ENSG00000252798.1",0,0,0,0,0,0,0,0,0
"ENSG00000197006.13",4978,3851,3008,1828,1624,2750,2774,2451,2326
"ENSG00000261596.2",75,18,39,56,29,37,22,47,57
"ENSG00000140749.8",132,209,360,116,213,94,151,104,188
"ENSG00000207248.1",13,10,20,11,2,3,9,13,13
"ENSG00000207042.1",15,6,0,0,1,6,5,5,2
"ENSG00000155719.17",6,1,7,2,2,1,7,5,3
"ENSG00000260306.1",2,5,0,12,10,7,2,36,8
"ENSG00000248124.7",35,152,48,318,258,125,29,299,278
"ENSG00000276721.1",0,0,0,0,0,0,0,0,0
"ENSG00000185864.16",118,103,99,230,183,199,128,84,122
"ENSG00000185710.9",15,7,0,7,3,8,5,48,51
"ENSG00000257408.2",0,0,0,0,0,0,0,0,0
"ENSG00000274460.1",11,4,7,26,5,9,12,15,18
"ENSG00000140740.10",3203,4363,2204,1845,1731,2866,4324,3255,2989
"ENSG00000155714.13",0,0,0,0,0,0,0,0,0
"ENSG00000260395.1",0,0,0,0,0,0,0,0,2
"ENSG00000275445.1",0,1,0,2,1,1,0,1,2
"ENSG00000185716.11",2345,1144,842,536,456,667,518,731,1181
"ENSG00000260277.1",2,0,0,0,0,0,0,0,0
"ENSG00000175267.14",4,7,0,4,5,19,1,13,11
"ENSG00000183921.7",4,0,0,2,1,2,1,1,0
"ENSG00000103319.11",6809,5180,3888,4482,3408,6363,1880,3849,3415
"ENSG00000261113.1",0,0,0,0,0,0,0,0,0
"ENSG00000058600.15",2527,2119,1457,1756,1244,1868,1106,1297,1866
"ENSG00000140743.7",781,985,487,554,450,568,424,540,621
"ENSG00000260635.1",0,0,0,0,0,0,0,0,0
"ENSG00000260790.1",0,3,0,0,6,0,0,0,0
"ENSG00000230872.1",0,0,0,1,0,0,0,1,0
"ENSG00000257122.5",102,89,87,123,104,156,56,108,190
"ENSG00000237296.9",149,117,50,184,126,197,144,159,234
"ENSG00000243716.10",64,77,16,165,196,124,54,82,207
"ENSG00000277041.1",1,0,0,0,0,0,0,0,0
"ENSG00000257838.5",0,0,3,6,2,1,3,1,2
"ENSG00000260973.1",0,0,0,0,2,0,0,3,2
"ENSG00000260905.1",0,0,0,0,0,0,0,0,0
"ENSG00000283213.1",11,62,0,20,10,2,7,19,49
"ENSG00000122254.6",18,111,7,24,32,9,27,25,240
"ENSG00000261090.1",0,0,0,0,0,0,0,0,0
"ENSG00000260566.2",0,0,0,0,0,0,0,0,0
"ENSG00000103404.14",1076,1829,1029,1910,1225,1377,1139,2275,2439
"ENSG00000280400.1",0,0,0,0,0,0,0,0,0
"ENSG00000285613.1",1,0,0,1,0,0,0,0,0
"ENSG00000166828.2",704,2051,193,333,368,564,109,2319,6870
"ENSG00000260741.1",0,0,0,0,0,1,0,0,0
"ENSG00000168447.10",12,222,6,46,36,90,28,274,294
"ENSG00000168434.12",1122,1228,382,1110,833,1568,592,879,1176
"ENSG00000280039.1",0,0,0,0,0,0,0,0,3
"ENSG00000212593.1",0,0,0,0,0,0,0,0,0
"ENSG00000259782.2",7,5,0,13,22,13,3,13,7
"ENSG00000260136.5",35,33,0,20,13,18,26,17,18
"ENSG00000103365.15",2518,3376,1625,3059,2616,4059,1484,2996,3105
"ENSG00000261528.2",0,0,0,0,0,0,0,0,0
"ENSG00000103356.15",1069,1326,683,820,570,1040,951,894,1053
"ENSG00000260247.1",0,0,0,0,1,0,0,0,0
"ENSG00000103353.15",1472,2244,1440,1414,1007,1981,1560,1663,1741
"ENSG00000260751.2",14,9,4,63,46,35,14,34,29
"ENSG00000004779.9",760,878,692,317,378,575,636,594,468
"ENSG00000083093.9",347,585,448,342,324,491,577,557,529
"ENSG00000261723.1",0,0,0,0,0,0,0,0,0
"ENSG00000166847.9",2562,3014,1641,1748,1219,2445,2329,2367,2385
"ENSG00000260482.3",0,0,0,0,0,0,0,0,0
"ENSG00000166851.14",38,25,38,22,21,29,34,21,23
"ENSG00000261266.2",0,0,0,0,0,0,0,0,0
"ENSG00000134398.14",5,100,2,142,42,41,7,200,148
"ENSG00000278912.1",0,0,0,6,0,0,0,11,5
"ENSG00000261583.1",0,0,0,0,0,0,0,0,0
"ENSG00000279756.1",0,0,0,0,0,0,0,0,1
"ENSG00000166869.2",0,75,10,24,91,75,7,491,174
"ENSG00000166501.13",202,443,83,272,491,385,122,469,449
"ENSG00000279276.1",1,0,0,0,0,0,0,1,1
"ENSG00000279202.1",1,4,0,5,1,1,1,1,1
"ENSG00000274466.1",1,0,0,0,0,0,0,0,0
"ENSG00000279554.1",0,0,0,0,3,0,0,0,5
"ENSG00000260264.1",0,0,0,0,0,0,0,0,0
"ENSG00000006116.3",0,1,0,0,0,0,0,0,0
"ENSG00000201541.1",0,0,0,0,0,0,0,0,0
"ENSG00000239081.1",0,0,0,0,0,0,0,0,0
"ENSG00000260072.1",1,0,0,0,0,0,0,0,0
"ENSG00000122257.19",2564,2578,4064,2218,1962,2364,1907,2633,2091
"ENSG00000090905.18",2224,3057,2272,3009,2401,3398,2175,2894,3232
"ENSG00000224310.1",0,0,0,0,0,0,0,0,0
"ENSG00000261669.1",0,0,0,0,0,0,0,0,0
"ENSG00000158865.12",3,6,0,10,2,8,1,9,6
"ENSG00000140750.16",958,1040,525,1056,1023,1219,495,810,1411
"ENSG00000260714.1",2,2,0,2,4,5,0,2,4
"ENSG00000262587.2",14,21,11,21,10,10,9,21,24
"ENSG00000262155.1",11,11,11,44,29,43,14,30,31
"ENSG00000271105.1",1,4,15,23,9,11,5,17,16
"ENSG00000263326.1",0,0,0,0,0,0,0,0,0
"ENSG00000260448.5",5,14,0,7,7,7,5,5,4
"ENSG00000262700.1",0,0,0,17,6,0,0,2,1
"ENSG00000275494.1",34,7,6,8,9,11,28,15,7
"ENSG00000205629.11",633,621,442,434,311,650,435,519,520
"ENSG00000260034.1",0,0,0,3,0,0,0,0,0
"ENSG00000266166.2",0,0,0,0,0,0,0,0,0
"ENSG00000103375.10",0,4,0,0,1,2,0,2,2
"ENSG00000155592.15",537,679,319,458,318,537,396,387,486
"ENSG00000259955.1",0,0,0,0,0,0,0,0,0
"ENSG00000274925.1",46,35,24,87,56,64,58,61,102
"ENSG00000261636.1",0,0,0,0,0,0,0,0,0
"ENSG00000260690.1",0,0,0,0,0,1,0,0,0
"ENSG00000182601.6",291,85,193,31,54,44,77,87,66
"ENSG00000285882.1",12,18,7,2,8,4,10,17,19
"ENSG00000260255.1",0,0,0,0,0,0,0,0,0
"ENSG00000265005.1",0,3,0,0,0,0,0,0,2
"ENSG00000199929.1",0,0,0,0,0,0,0,0,0
"ENSG00000230330.1",8,9,3,3,2,14,8,9,5
"ENSG00000237140.2",0,0,0,0,0,0,0,0,0
"ENSG00000231876.7",0,0,0,0,0,0,0,0,0
"ENSG00000228480.1",0,0,0,0,0,0,0,0,0
"ENSG00000236481.1",0,2,0,2,0,0,0,2,2
"ENSG00000260580.1",0,0,0,0,0,0,0,0,0
"ENSG00000234186.2",0,0,0,0,0,1,0,0,0
"ENSG00000261482.1",0,0,0,0,0,0,0,0,0
"ENSG00000261557.1",3,3,0,1,1,0,4,0,7
"ENSG00000261045.2",3,23,5,4,1,0,0,4,17
"ENSG00000155666.11",203,223,34,176,130,186,58,161,176
"ENSG00000259940.2",7,3,13,24,5,10,0,5,9
"ENSG00000169189.16",1865,1466,1019,742,429,1074,631,742,798
"ENSG00000245888.6",11,19,18,31,18,33,19,35,21
"ENSG00000274092.1",0,0,0,0,0,0,0,0,2
"ENSG00000077238.13",1110,1611,250,1198,732,986,402,1011,2071
"ENSG00000103522.15",10,5,13,18,18,13,13,6,24
"ENSG00000259954.1",6,0,0,23,20,10,0,14,14
"ENSG00000077235.17",16240,12318,8440,10544,7994,14410,5908,6942,7228
"ENSG00000047578.12",2225,2122,959,1964,1517,2529,935,1299,2012
"ENSG00000261736.1",6,0,0,8,12,17,3,13,12
"ENSG00000261329.5",0,0,0,2,0,0,0,1,0
"ENSG00000273553.1",2,3,0,1,2,1,1,2,2
"ENSG00000201371.1",0,0,0,0,0,0,0,0,0
"ENSG00000169181.12",2,0,0,1,0,0,0,0,0
"ENSG00000212382.1",0,0,0,0,0,0,0,0,0
"ENSG00000207266.1",0,0,0,0,0,0,0,0,0
"ENSG00000169180.11",3720,2806,2752,1708,1084,2029,1380,1667,2066
"ENSG00000260452.1",24,13,11,4,9,6,4,1,11
"ENSG00000200652.1",0,0,0,0,0,0,0,0,0
"ENSG00000200138.1",0,0,0,0,0,0,0,0,0
"ENSG00000250982.2",1,0,0,0,0,2,0,0,0
"ENSG00000283662.1",0,0,0,0,1,0,0,0,0
"ENSG00000246465.1",1,11,0,3,6,2,17,1,4
"ENSG00000188322.4",356,187,36,162,140,161,137,67,119
"ENSG00000277191.1",0,0,0,0,0,0,0,0,0
"ENSG00000198156.10",2,8,6,7,6,12,2,12,2
"ENSG00000271623.1",0,0,0,0,0,0,0,0,0
"ENSG00000205609.12",22,25,18,15,6,11,5,15,20
"ENSG00000275429.1",0,0,0,0,0,0,0,0,0
"ENSG00000261089.1",0,0,0,0,0,0,0,0,0
"ENSG00000275654.1",0,0,0,0,0,0,0,0,0
"ENSG00000270118.1",0,0,0,0,0,0,0,0,0
"ENSG00000261832.6",0,0,0,3,2,0,0,0,1
"ENSG00000233232.6",0,0,0,0,0,0,0,0,0
"ENSG00000188603.19",24,24,8,28,25,29,27,28,35
"ENSG00000184730.10",21,60,14,53,43,41,17,20,70
"ENSG00000197272.2",0,0,0,0,0,0,0,0,0
"ENSG00000176046.8",5131,3382,3351,2309,2212,2878,980,1873,2142
"ENSG00000271495.1",0,0,0,0,0,0,0,0,0
"ENSG00000275441.1",10,1,14,1,2,3,3,1,6
"ENSG00000176476.8",181,232,66,160,111,164,158,125,135
"ENSG00000197165.10",3,1,0,2,2,1,0,6,10
"ENSG00000278665.1",0,0,0,0,0,0,1,0,0
"ENSG00000278725.1",0,0,0,0,0,0,0,0,0
"ENSG00000196502.11",236,167,45,134,88,128,172,119,83
"ENSG00000285020.1",1,2,0,1,0,1,1,0,0
"ENSG00000255524.7",0,0,0,1,0,1,3,3,4
"ENSG00000261419.1",0,0,0,0,0,0,0,0,0
"ENSG00000184110.14",308,299,282,118,93,151,156,179,193
"ENSG00000259982.1",0,0,0,0,0,0,0,0,0
"ENSG00000278340.1",0,0,0,0,0,0,0,0,0
"ENSG00000270424.1",1,0,0,0,1,0,1,0,0
"ENSG00000196993.8",3,0,0,3,2,5,1,0,0
"ENSG00000278528.1",0,0,0,0,0,0,0,0,0
"ENSG00000251417.2",6,3,0,2,4,11,4,1,4
"ENSG00000240634.1",1,0,0,1,1,2,2,2,4
"ENSG00000260796.1",5,1,0,3,5,1,1,2,2
"ENSG00000275807.1",1,6,2,0,4,3,3,4,2
"ENSG00000168488.18",1547,1328,707,1692,1296,1917,1139,1080,1850
"ENSG00000260570.1",0,0,0,0,0,0,0,0,0
"ENSG00000178952.10",3699,3765,1653,1630,1255,2758,3226,2396,2313
"ENSG00000283845.1",0,0,0,0,0,0,0,0,0
"ENSG00000178188.14",917,897,138,915,635,1022,556,714,798
"ENSG00000261766.1",4,5,34,10,5,5,7,5,10
"ENSG00000196296.13",2,35,0,30,52,43,4,14,42
"ENSG00000260442.5",21,8,2,5,14,10,10,4,12
"ENSG00000252461.1",0,3,0,1,3,2,0,0,1
"ENSG00000177548.12",1061,823,336,1257,909,943,264,329,394
"ENSG00000177455.12",2,9,0,5,10,3,3,1,0
"ENSG00000176953.12",874,1074,650,933,711,1085,683,860,1114
"ENSG00000260853.1",0,0,0,0,0,0,0,0,0
"ENSG00000284541.1",0,0,0,0,0,0,0,0,0
"ENSG00000260367.2",1,0,0,1,1,0,0,0,0
"ENSG00000169682.17",4,5,0,27,9,11,5,14,7
"ENSG00000261067.7",0,1,0,9,2,2,3,6,5
"ENSG00000213658.11",0,3,0,2,1,5,1,1,4
"ENSG00000261552.1",0,0,0,0,0,0,0,0,0
"ENSG00000196796.5",0,0,0,0,0,1,0,0,0
"ENSG00000260908.1",0,0,0,0,0,0,0,2,2
"ENSG00000103472.10",2,5,0,6,1,1,0,3,2
"ENSG00000284671.1",0,1,0,1,3,1,0,0,0
"ENSG00000284649.1",0,0,0,5,1,3,0,0,1
"ENSG00000284685.1",0,5,0,6,3,5,0,1,3
"ENSG00000260517.3",10,20,0,14,19,5,2,19,41
"ENSG00000279106.1",0,4,0,18,1,3,0,3,14
"ENSG00000259807.1",0,0,0,2,0,1,0,2,0
"ENSG00000273582.1",0,0,0,0,0,0,0,0,0
"ENSG00000260953.1",0,0,0,0,0,0,0,0,0
"ENSG00000277999.1",0,1,0,4,3,1,0,2,1
"ENSG00000198106.8",3,3,0,9,9,2,1,0,3
"ENSG00000260413.1",0,0,0,0,0,0,0,0,0
"ENSG00000271699.5",0,2,0,2,2,3,1,2,2
"ENSG00000278078.1",0,0,0,0,0,0,0,0,0
"ENSG00000254206.5",8,3,4,8,20,17,9,12,29
"ENSG00000254634.4",27,23,12,76,45,19,27,66,102
"ENSG00000183336.8",2,2,0,1,2,3,1,0,0
"ENSG00000261740.6",4,1,10,0,4,3,6,3,8
"ENSG00000260335.1",0,0,0,0,0,0,0,0,0
"ENSG00000181625.17",0,1,0,0,0,1,2,1,0
"ENSG00000260280.5",0,0,0,0,0,0,0,0,0
"ENSG00000213648.10",0,0,0,0,0,0,0,0,0
"ENSG00000258150.6",0,0,0,0,0,0,0,0,0
"ENSG00000279228.2",0,0,0,0,1,0,0,0,0
"ENSG00000257691.2",0,0,0,0,0,0,0,0,0
"ENSG00000257506.1",0,0,0,0,0,0,0,0,0
"ENSG00000169203.16",26,7,13,48,43,36,22,40,69
"ENSG00000205534.6",83,99,72,71,78,100,62,117,159
"ENSG00000279583.1",4,0,0,5,1,2,1,1,3
"ENSG00000266758.1",0,2,0,1,0,4,0,0,1
"ENSG00000260727.1",1,5,0,2,1,2,1,0,2
"ENSG00000260133.1",0,0,0,0,0,0,0,0,0
"ENSG00000260514.1",0,0,0,0,0,0,0,0,0
"ENSG00000197471.11",51,119,40,116,128,120,90,63,127
"ENSG00000277669.1",0,0,0,0,0,0,0,0,0
"ENSG00000103485.17",36,124,0,50,81,69,12,86,56
"ENSG00000222375.1",3,0,0,5,24,4,0,43,0
"ENSG00000185905.3",19,47,8,15,19,17,21,40,15
"ENSG00000260719.1",26,178,5,28,22,8,1,88,2
"ENSG00000174992.7",0,3,0,0,1,0,0,0,0
"ENSG00000079616.12",1181,1284,271,857,908,1005,1500,2501,545
"ENSG00000275857.1",8,0,0,8,6,8,3,7,4
"ENSG00000103495.13",6065,5225,2194,2807,2518,3989,5815,4037,1977
"ENSG00000259952.1",1,1,0,2,1,1,6,2,1
"ENSG00000238045.9",34,32,27,40,61,40,44,71,80
"ENSG00000280607.1",0,0,0,0,0,0,0,0,0
"ENSG00000167371.19",28,15,0,55,106,65,78,119,15
"ENSG00000280893.1",0,0,0,0,0,0,0,0,0
"ENSG00000280789.1",45,54,12,73,81,49,27,61,31
"ENSG00000281348.1",0,0,0,0,0,0,0,1,0
"ENSG00000013364.18",937,1978,255,1123,1047,1425,722,1454,2084
"ENSG00000103502.13",1061,1206,69,834,606,1083,913,770,671
"ENSG00000278713.1",0,4,0,3,1,1,0,0,0
"ENSG00000214725.9",2,0,0,2,0,3,0,2,0
"ENSG00000174938.14",1689,2589,693,1885,864,2549,1236,1031,1371
"ENSG00000174939.10",15,27,11,17,26,9,38,14,17
"ENSG00000174943.10",326,263,92,318,239,325,172,229,393
"ENSG00000279789.1",34,29,36,80,63,58,25,38,73
"ENSG00000247735.2",17,15,20,20,16,35,22,25,11
"ENSG00000149932.16",1563,1800,436,1210,1004,1758,1062,1333,1249
"ENSG00000149930.17",1231,1369,564,1210,1075,1335,588,981,1150
"ENSG00000149929.15",108,249,57,125,138,192,115,150,128
"ENSG00000169592.14",501,538,176,767,670,700,445,426,555
"ENSG00000149927.17",3,22,12,45,31,22,8,10,32
"ENSG00000167194.7",0,0,0,0,0,0,0,0,0
"ENSG00000149926.13",1,2,0,1,1,0,2,1,2
"ENSG00000285043.1",2,16,0,13,5,13,3,5,5
"ENSG00000149925.18",125,140,8,99,92,117,47,53,67
"ENSG00000274904.1",12,1,0,4,0,1,4,5,6
"ENSG00000149923.13",791,745,162,602,551,818,767,621,731
"ENSG00000149922.10",0,19,0,10,12,15,6,24,10
"ENSG00000090238.11",358,283,195,334,242,341,222,290,235
"ENSG00000250616.2",43,48,21,18,13,28,39,26,21
"ENSG00000102886.14",6,15,0,33,18,18,3,30,29
"ENSG00000261367.1",0,0,0,0,0,0,0,0,0
"ENSG00000275371.1",0,0,0,0,0,0,0,0,0
"ENSG00000102882.11",433,537,171,297,293,506,194,301,328
"ENSG00000102879.15",48,115,21,100,136,72,40,58,124
"ENSG00000261416.1",0,2,0,0,0,2,0,0,0
"ENSG00000169627.7",0,3,7,3,4,11,5,4,4
"ENSG00000132207.17",0,0,0,5,0,1,0,0,0
"ENSG00000213599.10",0,0,0,0,0,0,0,0,0
"ENSG00000261052.5",0,2,0,6,3,1,2,1,11
"ENSG00000258130.8",1,1,0,1,0,0,0,0,0
"ENSG00000278887.2",0,0,0,2,0,0,0,1,0
"ENSG00000261444.1",0,0,0,0,0,0,0,0,0
"ENSG00000261203.1",0,0,0,0,0,0,0,0,0
"ENSG00000198064.13",8,4,15,1,25,12,10,3,13
"ENSG00000183604.14",110,133,139,240,118,166,100,282,331
"ENSG00000273724.1",4,7,0,4,2,0,3,7,4
"ENSG00000169217.8",1497,1887,385,1157,945,1455,1066,1254,1398
"ENSG00000260219.2",54,53,33,28,26,57,41,47,31
"ENSG00000169221.13",440,519,179,494,366,512,400,332,437
"ENSG00000274653.1",4,5,0,10,5,6,7,6,1
"ENSG00000180209.11",14,2,0,0,4,2,3,1,2
"ENSG00000180035.12",251,339,22,172,204,221,252,176,201
"ENSG00000180096.11",12,18,1,27,17,28,16,16,47
"ENSG00000280137.1",0,0,0,0,0,0,0,0,0
"ENSG00000179965.11",68,85,65,47,69,82,49,58,65
"ENSG00000199787.1",4,0,0,0,0,4,1,0,0
"ENSG00000179958.8",298,352,67,201,197,341,378,233,315
"ENSG00000179918.18",1836,1749,1355,862,556,1112,837,1003,861
"ENSG00000202476.1",0,0,0,0,0,0,0,0,0
"ENSG00000222701.1",0,0,0,0,0,0,1,0,0
"ENSG00000005844.17",59,121,87,94,102,143,86,76,141
"ENSG00000261346.1",0,0,0,0,0,2,0,3,2
"ENSG00000260487.1",0,0,0,1,1,0,0,4,0
"ENSG00000251706.1",0,0,0,0,0,0,0,0,0
"ENSG00000261332.1",0,0,0,1,1,4,0,3,0
"ENSG00000266305.1",0,0,0,0,0,0,0,0,0
"ENSG00000169957.9",448,475,169,337,340,422,393,319,321
"ENSG00000261459.1",0,0,0,0,0,0,0,0,0
"ENSG00000278922.1",2,1,0,2,1,4,2,4,2
"ENSG00000169955.7",307,431,128,200,195,325,233,268,289
"ENSG00000260869.1",0,0,0,0,0,0,0,0,0
"ENSG00000235560.3",26,40,46,40,25,40,62,51,30
"ENSG00000260494.1",0,0,0,0,0,1,0,1,0
"ENSG00000169951.9",136,173,18,128,109,205,126,160,164
"ENSG00000229809.8",162,166,72,166,133,162,94,120,102
"ENSG00000239791.1",0,1,0,0,0,0,0,1,1
"ENSG00000197162.9",162,401,135,399,328,372,357,308,380
"ENSG00000260167.1",0,0,0,9,2,0,1,2,5
"ENSG00000261588.1",0,0,0,0,0,0,0,0,0
"ENSG00000156853.12",165,361,120,152,181,230,209,279,248
"ENSG00000260678.1",0,0,0,0,0,0,0,0,0
"ENSG00000261680.1",0,0,0,0,0,0,0,0,0
"ENSG00000260113.3",0,0,0,0,0,0,0,0,1
"ENSG00000156858.11",141,160,129,245,215,199,165,128,169
"ENSG00000156860.15",825,816,136,1081,1048,1192,454,598,986
"ENSG00000252074.1",0,0,0,0,0,0,0,0,0
"ENSG00000261840.2",11,8,7,4,4,6,13,13,7
"ENSG00000080603.16",171,168,44,195,143,224,108,143,234
"ENSG00000222287.1",0,0,0,0,0,0,0,0,0
"ENSG00000282034.1",21,40,32,21,31,19,19,56,50
"ENSG00000206755.1",1,2,0,3,7,3,3,3,4
"ENSG00000281991.1",0,0,0,0,0,0,0,0,0
"ENSG00000260899.1",0,0,0,0,0,0,0,1,0
"ENSG00000156873.15",412,458,87,359,293,483,335,419,460
"ENSG00000196118.11",46,42,33,43,77,67,19,34,25
"ENSG00000103549.21",2867,2974,1186,2256,1871,2805,1582,1818,2217
"ENSG00000280211.1",3,0,0,0,3,2,5,0,4
"ENSG00000102870.5",960,1530,426,907,712,1025,849,885,1120
"ENSG00000274848.1",0,0,0,2,0,0,0,0,0
"ENSG00000260082.1",0,0,0,0,0,0,0,0,0
"ENSG00000274678.1",0,2,0,1,3,6,0,3,4
"ENSG00000099385.11",393,405,224,358,375,506,211,400,332
"ENSG00000260083.1",33,72,61,18,17,54,76,36,53
"ENSG00000265991.1",0,0,0,1,5,0,0,0,0
"ENSG00000262721.1",1,3,13,6,3,8,0,5,2
"ENSG00000211591.1",0,0,0,0,1,3,0,0,0
"ENSG00000150281.6",11,47,0,51,35,72,13,57,44
"ENSG00000230447.2",0,0,0,0,0,0,0,0,0
"ENSG00000260852.1",144,39,41,53,57,50,58,42,80
"ENSG00000099364.16",197,200,47,278,252,210,139,172,241
"ENSG00000261487.1",0,0,0,1,0,2,0,0,0
"ENSG00000175938.6",312,352,39,154,113,280,157,214,175
"ENSG00000275263.1",3,3,0,1,1,3,1,0,2
"ENSG00000099381.17",448,399,408,617,555,582,254,318,511
"ENSG00000279196.1",0,1,0,0,0,0,1,0,3
"ENSG00000099377.13",276,236,31,113,122,136,155,138,215
"ENSG00000099365.10",14,16,11,12,21,12,4,16,11
"ENSG00000103496.14",394,524,285,654,528,608,344,491,596
"ENSG00000260911.2",10,2,3,7,9,8,2,1,23
"ENSG00000232748.3",0,0,0,5,2,1,0,0,4
"ENSG00000167394.12",62,89,1,64,41,72,70,41,51
"ENSG00000261124.1",0,0,0,0,0,0,0,0,0
"ENSG00000167395.10",602,633,184,574,492,667,499,567,590
"ENSG00000151006.7",3,3,0,15,14,7,9,17,11
"ENSG00000255439.6",0,0,0,0,0,0,0,0,0
"ENSG00000167397.14",284,404,21,112,131,363,344,235,168
"ENSG00000280160.1",0,0,0,0,1,0,0,0,2
"ENSG00000103507.13",954,658,242,551,399,659,552,416,511
"ENSG00000103510.19",856,986,384,769,623,1081,600,874,845
"ENSG00000262766.1",1,3,3,10,4,30,5,13,12
"ENSG00000278133.1",397,398,253,263,232,401,217,368,307
"ENSG00000261385.1",0,2,0,0,5,4,0,0,0
"ENSG00000052344.15",3838,2042,705,2383,1159,3314,2185,1360,1565
"ENSG00000178226.10",25,15,0,9,9,24,22,14,11
