"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000263196.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262158.1",1,0,0,5,0,1,0,3,2,0,0,0
"ENSG00000262381.1",0,0,0,0,1,0,6,4,1,1,1,3
"ENSG00000103274.10",212,143,205,590,513,102,502,338,347,408,333,383
"ENSG00000166676.15",13,17,12,21,14,25,0,33,6,29,0,17
"ENSG00000262488.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000262151.1",0,0,0,1,0,0,8,0,0,0,1,0
"ENSG00000179583.19",184,259,429,131,171,396,162,571,97,214,50,706
"ENSG00000182108.10",186,179,107,429,328,175,284,372,315,410,363,343
"ENSG00000280153.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000038532.15",428,579,373,921,878,526,647,876,503,882,875,901
"ENSG00000229917.2",1,13,0,18,12,11,10,28,3,10,27,20
"ENSG00000274038.1",1,0,0,10,13,1,6,13,5,8,10,7
"ENSG00000262020.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263033.2",1,2,1,5,9,4,0,7,0,3,8,15
"ENSG00000263179.1",0,4,0,1,0,0,0,0,0,0,1,0
"ENSG00000175643.9",32,0,19,64,40,9,41,48,73,37,35,87
"ENSG00000185338.5",1,21,2,33,8,7,0,4,5,5,1,13
"ENSG00000178279.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178257.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212228.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000122304.10",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175646.3",3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221801.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199668.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263080.1",1,0,0,0,0,0,0,0,3,2,0,0
"ENSG00000262703.1",0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000188897.9",31,85,36,81,97,99,9,109,16,41,67,76
"ENSG00000262636.1",0,0,0,0,1,0,6,2,0,3,0,2
"ENSG00000262999.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189067.12",1452,1033,1000,5439,5206,915,2956,2994,1906,4210,2628,3548
"ENSG00000184602.5",299,322,203,454,404,160,249,424,473,509,257,394
"ENSG00000153066.12",965,757,613,3602,2463,668,2271,1339,1392,1784,2010,1447
"ENSG00000262420.3",0,0,0,4,0,5,4,4,2,2,4,1
"ENSG00000122299.11",701,622,569,2224,2067,626,2384,1651,1451,2513,1513,1911
"ENSG00000274505.1",0,29,2,4,7,14,0,26,0,16,6,4
"ENSG00000277369.1",22,34,13,37,22,45,18,30,26,28,45,18
"ENSG00000262117.5",0,0,0,2,0,0,0,0,0,0,0,2
"ENSG00000171490.12",1062,942,882,4206,3080,1372,4981,2428,7152,3901,3238,3546
"ENSG00000263307.1",1,12,0,5,2,3,0,5,1,4,10,7
"ENSG00000103342.12",1782,1426,1194,11057,8161,1210,12922,3713,6712,6941,6902,4916
"ENSG00000261560.1",8,53,0,53,39,55,6,75,13,64,101,38
"ENSG00000260318.1",6,10,0,33,44,15,16,30,25,40,63,32
"ENSG00000261216.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000277458.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000234719.8",19,7,7,0,0,27,0,21,29,1,45,41
"ENSG00000048462.10",2,0,10,0,0,0,0,0,0,0,2,4
"ENSG00000260224.1",1,0,0,0,0,0,0,0,0,0,3,2
"ENSG00000048471.13",266,510,323,877,643,471,603,672,549,768,641,760
"ENSG00000260488.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241641.1",2,0,0,1,8,4,0,5,1,0,4,3
"ENSG00000175604.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261293.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238685.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261394.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260723.1",0,0,0,1,2,1,0,0,2,2,1,7
"ENSG00000278979.1",3,12,14,3,10,12,0,8,5,5,6,4
"ENSG00000260601.1",0,0,0,3,11,0,0,8,2,11,5,15
"ENSG00000259876.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259899.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274834.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103381.11",277,173,140,625,630,88,867,651,424,852,406,616
"ENSG00000264733.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260378.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261158.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199474.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241932.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237515.8",204,82,533,404,1376,4,181,914,9,925,54,150
"ENSG00000262116.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262801.5",0,0,0,6,22,0,6,7,0,18,0,1
"ENSG00000262011.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262235.2",0,0,0,0,2,0,0,7,0,7,0,1
"ENSG00000262267.5",3,0,23,13,35,0,26,16,0,9,2,3
"ENSG00000175595.14",189,184,148,696,815,169,1119,518,530,725,622,586
"ENSG00000242307.1",0,0,0,1,0,0,0,3,3,0,0,0
"ENSG00000262732.1",0,0,0,3,0,2,0,2,0,0,2,4
"ENSG00000263234.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262097.1",3,0,0,3,2,0,0,2,2,1,0,3
"ENSG00000261856.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186260.16",1526,1838,1078,3322,3941,1055,3045,3025,2734,4006,3320,4225
"ENSG00000276564.1",36,45,80,116,239,43,171,124,124,272,209,263
"ENSG00000262529.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262470.2",10,14,10,9,29,7,5,8,5,19,11,42
"ENSG00000201075.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262454.3",33,54,34,42,87,87,78,69,40,32,23,62
"ENSG00000207639.1",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000199130.3",0,0,0,0,0,0,0,1,0,1,3,1
"ENSG00000260009.1",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000263257.2",16,25,5,26,37,14,21,31,3,37,16,10
"ENSG00000140694.16",450,357,519,1148,1088,370,1619,870,1155,1377,923,1283
"ENSG00000242430.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103429.10",348,371,285,1115,827,412,763,585,1151,989,671,825
"ENSG00000238964.1",0,0,0,0,0,1,0,0,0,1,2,0
"ENSG00000069764.9",5,0,0,1,5,0,0,4,0,5,7,4
"ENSG00000261523.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224712.12",6,0,0,0,0,1,0,0,1,0,3,3
"ENSG00000254609.1",0,0,0,0,1,0,0,0,0,0,0,2
"ENSG00000261695.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254852.8",1,0,0,1,0,1,0,4,0,1,1,0
"ENSG00000255037.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255277.3",0,0,0,3,3,0,9,1,0,3,2,4
"ENSG00000103512.14",448,511,465,1234,1705,288,1635,742,1369,1156,907,785
"ENSG00000270734.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257264.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284305.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263918.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258354.1",3,0,0,2,1,0,29,0,0,4,10,4
"ENSG00000265537.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183458.13",5,47,2,26,9,44,4,25,0,5,19,10
"ENSG00000207425.1",2,1,2,29,20,5,12,6,45,28,61,14
"ENSG00000183426.16",17,36,41,75,73,51,19,75,101,61,77,106
"ENSG00000275259.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278265.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273804.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000179889.18",2812,2577,1786,10034,10701,2192,6430,4611,7231,8154,8855,5044
"ENSG00000261819.1",12,11,10,0,2,14,0,9,3,2,0,19
"ENSG00000238728.1",1,4,0,0,1,5,0,1,0,2,0,0
"ENSG00000275910.1",7,4,0,2,5,2,0,4,4,12,12,16
"ENSG00000157045.8",225,232,188,648,886,170,442,577,308,711,826,1032
"ENSG00000085721.12",561,456,384,2062,1859,293,1334,1183,1769,1937,1432,1518
"ENSG00000260735.2",0,0,0,3,4,0,2,1,5,4,1,2
"ENSG00000188599.17",14,28,36,37,27,25,27,32,64,36,42,76
"ENSG00000270580.5",6,4,0,3,4,1,0,2,2,7,7,6
"ENSG00000250251.6",36,149,27,65,55,124,50,109,27,43,77,100
"ENSG00000283346.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207294.1",0,7,1,0,1,0,0,0,0,0,0,0
"ENSG00000264115.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257391.1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000277770.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183793.13",8,9,4,7,7,8,21,1,15,12,10,34
"ENSG00000156968.8",190,171,131,569,253,73,281,337,325,232,11,314
"ENSG00000261130.5",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166780.10",140,117,169,218,150,144,241,291,95,329,26,222
"ENSG00000166783.21",993,1237,771,2381,2640,881,2265,2024,2876,3552,2077,2958
"ENSG00000257769.1",0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000284184.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000072864.14",230,365,36,285,361,233,236,511,271,563,200,654
"ENSG00000283736.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262380.1",10,11,0,0,3,12,0,26,1,4,4,19
"ENSG00000280206.1",35,24,6,23,49,25,7,40,35,62,17,82
"ENSG00000133392.17",16176,33596,81093,33591,20717,26795,29725,80490,14911,37634,3789,18107
"ENSG00000263335.1",8,52,30,21,35,23,14,50,16,28,7,41
"ENSG00000263065.1",1,9,6,0,7,3,4,10,3,7,0,1
"ENSG00000280429.1",3,19,23,2,12,48,15,40,1,37,0,10
"ENSG00000133393.12",233,187,110,1155,1011,193,1248,590,934,958,630,885
"ENSG00000206778.1",0,0,0,0,0,0,0,0,3,1,2,1
"ENSG00000262171.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215003.4",16,4,10,2,2,0,5,0,5,0,1,2
"ENSG00000103222.18",1078,1520,698,5938,3638,2691,5950,2481,2214,2888,4490,1537
"ENSG00000241067.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000091262.15",38,59,42,44,50,19,12,180,5,34,24,110
"ENSG00000262332.1",0,0,0,1,0,0,0,1,0,0,0,0
"ENSG00000103226.17",39,44,85,279,287,17,221,13,128,150,95,180
"ENSG00000263029.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262848.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257381.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264722.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257366.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265373.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244257.5",2,3,0,3,1,1,0,0,0,0,4,2
"ENSG00000206706.1",0,0,7,0,0,0,0,0,0,0,0,0
"ENSG00000183889.12",1,0,1,1,10,3,0,0,1,9,7,13
"ENSG00000278221.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277698.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277920.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227827.3",1,18,2,22,1,39,0,15,2,2,1,2
"ENSG00000276311.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214967.5",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000261181.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261362.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260126.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279729.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261748.1",0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000279490.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260675.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000260405.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103489.11",303,333,288,347,632,163,371,423,379,763,550,812
"ENSG00000261448.1",2,6,0,0,3,2,0,1,2,0,0,0
"ENSG00000279410.1",2,4,0,4,13,4,0,3,4,13,7,8
"ENSG00000279415.1",0,8,0,1,5,2,11,4,1,4,1,10
"ENSG00000279620.1",3,6,0,5,17,5,0,8,2,20,11,44
"ENSG00000275927.1",3,1,0,2,4,1,0,7,3,3,7,23
"ENSG00000285850.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261555.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228071.4",2,0,1,2,0,0,0,0,1,0,2,4
"ENSG00000259929.5",0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000280283.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260242.1",0,0,0,0,0,0,0,1,0,3,0,0
"ENSG00000260933.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278994.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276484.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214940.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285628.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000205746.9",8,18,11,32,4,30,1,25,2,2,6,8
"ENSG00000273613.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277647.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233024.7",1,5,0,1,7,8,0,5,4,7,0,1
"ENSG00000254681.6",1,7,1,36,1,1,17,37,0,4,4,3
"ENSG00000275391.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206927.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257563.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266291.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265776.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257527.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266454.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185164.14",244,220,189,810,763,77,508,197,573,451,539,335
"ENSG00000274025.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277014.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262974.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260550.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256340.8",9,12,7,7,100,0,4,26,0,11,17,44
"ENSG00000134419.15",1958,1366,1768,6267,4785,998,5573,2755,12482,5458,2384,5164
"ENSG00000260342.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170540.14",820,322,412,4185,3114,377,3126,1472,2793,3110,2970,2106
"ENSG00000260017.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157106.16",2338,2583,1880,7853,8749,3141,8327,6097,6063,9884,7345,9856
"ENSG00000260352.1",0,4,16,13,0,2,0,3,0,6,0,1
"ENSG00000170537.12",74,27,0,242,94,31,149,78,163,158,52,70
"ENSG00000207167.1",0,0,0,0,1,0,0,2,0,0,1,0
"ENSG00000261465.6",0,0,0,7,8,0,12,1,2,2,0,4
"ENSG00000261357.1",9,0,0,4,0,0,0,1,3,6,0,0
"ENSG00000167186.10",414,278,477,2086,1354,284,1278,611,701,893,1342,913
"ENSG00000260430.1",0,17,0,8,0,2,13,5,22,5,9,9
"ENSG00000278389.1",0,0,0,0,5,1,0,5,0,18,0,1
"ENSG00000205730.6",702,665,502,1485,2026,686,1670,1426,1783,2078,863,2088
"ENSG00000261427.6",0,0,0,0,1,0,0,0,0,0,0,3
"ENSG00000261759.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103528.16",380,354,238,934,647,347,398,381,273,484,984,517
"ENSG00000261210.7",0,0,0,0,6,2,0,1,3,0,1,4
"ENSG00000259871.1",0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000285869.1",3,0,0,0,0,1,0,1,0,0,1,2
"ENSG00000259925.1",22,13,0,80,13,35,27,42,22,134,82,129
"ENSG00000280265.1",0,5,0,31,10,28,8,15,15,20,30,35
"ENSG00000103534.16",1158,936,1157,5129,1827,1043,3683,2152,6096,3938,2485,3370
"ENSG00000260681.1",0,0,0,3,0,0,0,0,3,2,1,0
"ENSG00000260592.1",0,0,0,0,1,0,0,0,0,1,1,0
"ENSG00000222750.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260934.1",17,0,6,39,22,6,21,18,47,57,30,50
"ENSG00000006007.11",918,615,887,3628,2250,400,2943,1139,2166,1687,1374,1743
"ENSG00000279747.1",20,3,0,56,36,12,36,25,68,102,33,62
"ENSG00000103540.16",384,327,341,1557,1562,445,1559,990,1463,1719,1210,2066
"ENSG00000103544.14",647,582,564,854,1121,261,776,995,985,1552,496,1525
"ENSG00000276571.1",2,3,0,2,5,0,0,3,8,1,3,2
"ENSG00000103550.13",156,249,118,665,500,283,585,423,736,476,480,460
"ENSG00000261312.1",0,3,0,0,1,0,0,0,0,0,1,0
"ENSG00000174628.16",120,90,126,259,320,76,246,236,160,301,189,320
"ENSG00000261195.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261939.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000167191.11",271,457,237,169,783,144,108,433,106,400,64,676
"ENSG00000180269.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277211.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263253.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227624.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169347.16",521,5107,95,320,1257,22,175,1884,821,2749,401,1168
"ENSG00000169344.15",5,8,0,0,0,0,0,2,0,0,6,7
"ENSG00000169340.9",6,0,0,0,23,0,0,2,0,5,0,11
"ENSG00000263237.1",0,0,0,0,1,0,0,1,0,0,0,4
"ENSG00000183549.10",3,0,8,7,7,16,21,6,6,6,0,6
"ENSG00000262995.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183747.11",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000280306.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000066813.14",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000260201.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260762.1",0,9,0,7,3,6,0,0,2,1,15,2
"ENSG00000005187.11",1058,1248,128,3043,1106,178,23027,680,13017,1575,1248,1189
"ENSG00000275315.1",0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000274730.1",0,0,0,0,0,0,0,0,0,3,0,0
"ENSG00000166743.9",97,159,57,2775,2905,4307,466,147,38,273,711,319
"ENSG00000066654.13",1650,981,800,5477,5462,703,8289,3338,5651,6692,2788,4124
"ENSG00000283399.1",1,3,0,1,9,1,0,23,1,6,0,15
"ENSG00000285303.1",0,0,0,0,2,0,0,4,0,3,2,5
"ENSG00000260510.1",3,9,16,19,17,9,17,14,2,11,13,19
"ENSG00000196678.13",267,113,138,876,828,140,584,506,525,862,623,826
"ENSG00000200893.1",3,0,0,1,6,0,33,1,25,5,2,9
"ENSG00000005189.19",213,198,40,723,323,76,483,246,365,468,359,265
"ENSG00000275908.1",0,2,0,2,0,3,0,1,6,3,13,4
"ENSG00000188215.9",199,152,20,804,517,237,279,352,406,510,275,762
"ENSG00000102897.9",206,159,212,1097,664,207,1297,442,847,847,319,690
"ENSG00000158486.13",5,4,0,1,0,0,44,2,1,13,1,1
"ENSG00000263331.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011638.10",413,233,174,871,855,276,240,341,1090,1053,438,1018
"ENSG00000262983.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103310.10",6,0,0,2,1,0,0,0,0,3,0,0
"ENSG00000175311.6",0,0,0,1,0,1,0,0,0,0,0,0
"ENSG00000103316.10",354,131,220,1072,782,203,375,564,646,2262,364,1086
"ENSG00000283421.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189149.12",14,4,0,20,41,15,45,20,36,41,13,43
"ENSG00000257403.2",0,0,0,5,1,9,0,6,1,1,1,5
"ENSG00000158482.10",2,3,0,5,4,11,31,8,4,18,8,23
"ENSG00000276548.1",0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000169246.16",9,35,13,23,27,88,0,31,37,28,83,27
"ENSG00000180747.15",129,113,208,486,409,863,223,585,177,594,907,547
"ENSG00000265462.1",1,23,15,4,6,43,0,31,6,16,25,4
"ENSG00000258186.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273956.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000257639.1",0,0,0,0,0,1,0,0,0,0,4,0
"ENSG00000271609.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252798.1",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000197006.13",679,408,369,4978,3415,591,3008,1624,2774,2451,1474,1748
"ENSG00000261596.2",3,3,9,75,61,10,39,29,22,47,38,34
"ENSG00000140749.8",96,32,83,132,128,131,360,213,151,104,61,210
"ENSG00000207248.1",0,0,0,13,18,0,20,2,9,13,12,12
"ENSG00000207042.1",0,0,0,15,1,1,0,1,5,5,5,0
"ENSG00000155719.17",1,0,0,6,19,4,7,2,7,5,3,10
"ENSG00000260306.1",0,8,0,2,4,6,0,10,2,36,0,15
"ENSG00000248124.7",66,73,17,35,143,146,48,258,29,299,18,237
"ENSG00000276721.1",0,0,0,0,0,0,0,0,0,0,0,3
"ENSG00000185864.16",46,88,129,118,276,485,99,183,128,84,527,386
"ENSG00000185710.9",4,4,76,15,36,3,0,3,5,48,66,21
"ENSG00000257408.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274460.1",0,2,0,11,17,5,7,5,12,15,30,9
"ENSG00000140740.10",902,800,1030,3203,2658,689,2204,1731,4324,3255,2004,2846
"ENSG00000155714.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260395.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000275445.1",1,0,0,0,0,0,0,1,0,1,4,0
"ENSG00000185716.11",161,118,52,2345,937,163,842,456,518,731,858,865
"ENSG00000260277.1",0,0,0,2,0,0,0,0,0,0,0,0
"ENSG00000175267.14",0,1,0,4,5,5,0,5,1,13,19,11
"ENSG00000183921.7",0,9,0,4,1,0,0,1,1,1,1,0
"ENSG00000103319.11",1293,1584,1550,6809,4001,2224,3888,3408,1880,3849,4709,2655
"ENSG00000261113.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000058600.15",597,806,277,2527,1651,1019,1457,1244,1106,1297,2305,1165
"ENSG00000140743.7",156,148,259,781,563,250,487,450,424,540,308,463
"ENSG00000260635.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260790.1",0,0,0,0,0,0,0,6,0,0,0,0
"ENSG00000230872.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000257122.5",40,66,20,102,95,83,87,104,56,108,127,136
"ENSG00000237296.9",63,40,29,149,400,116,50,126,144,159,97,288
"ENSG00000243716.10",53,99,53,64,167,351,16,196,54,82,363,126
"ENSG00000277041.1",2,0,0,1,0,0,0,0,0,0,0,1
"ENSG00000257838.5",2,0,0,0,0,0,3,2,3,1,0,2
"ENSG00000260973.1",0,0,0,0,0,0,0,2,0,3,0,0
"ENSG00000260905.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283213.1",5,2,0,11,16,1,0,10,7,19,5,47
"ENSG00000122254.6",7,14,0,18,17,7,7,32,27,25,35,24
"ENSG00000261090.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000260566.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103404.14",605,785,487,1076,1453,672,1029,1225,1139,2275,1149,2931
"ENSG00000280400.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285613.1",0,0,0,1,0,0,0,0,0,0,0,2
"ENSG00000166828.2",51,330,92,704,634,69,193,368,109,2319,445,849
"ENSG00000260741.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000168447.10",15,10,0,12,112,15,6,36,28,274,5,123
"ENSG00000168434.12",505,552,354,1122,980,452,382,833,592,879,945,751
"ENSG00000280039.1",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000212593.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259782.2",1,18,6,7,1,20,0,22,3,13,8,4
"ENSG00000260136.5",7,17,0,35,10,4,0,13,26,17,22,5
"ENSG00000103365.15",1428,1533,817,2518,2396,1422,1625,2616,1484,2996,2446,3331
"ENSG00000261528.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000103356.15",343,337,160,1069,963,362,683,570,951,894,1039,890
"ENSG00000260247.1",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000103353.15",608,581,402,1472,1557,434,1440,1007,1560,1663,1545,1213
"ENSG00000260751.2",11,17,2,14,24,58,4,46,14,34,61,31
"ENSG00000004779.9",132,165,104,760,533,116,692,378,636,594,399,407
"ENSG00000083093.9",184,95,103,347,434,149,448,324,577,557,335,581
"ENSG00000261723.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166847.9",668,587,601,2562,2054,465,1641,1219,2329,2367,2019,1737
"ENSG00000260482.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166851.14",5,36,20,38,35,34,38,21,34,21,59,26
"ENSG00000261266.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000134398.14",106,79,147,5,151,23,2,42,7,200,2,169
"ENSG00000278912.1",0,11,14,0,2,2,0,0,0,11,0,2
"ENSG00000261583.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279756.1",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000166869.2",18,11,16,0,114,7,10,91,7,491,0,218
"ENSG00000166501.13",133,172,232,202,211,170,83,491,122,469,22,469
"ENSG00000279276.1",0,0,0,1,1,0,0,0,0,1,1,3
"ENSG00000279202.1",0,0,0,1,0,0,0,1,1,1,0,6
"ENSG00000274466.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000279554.1",0,1,0,0,3,0,0,3,0,0,0,0
"ENSG00000260264.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006116.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201541.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239081.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260072.1",0,0,0,1,1,0,0,0,0,0,0,0
